unit,region,frequency,version,date,fuel_sector,value
t/day,EU,daily,0.2,2016-01-01,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-02,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-03,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-04,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-05,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-06,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-07,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-08,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-09,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-10,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-11,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-12,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-13,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-14,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-15,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-16,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-17,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-18,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-19,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-20,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-21,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-22,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-23,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-24,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-25,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-26,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-27,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-28,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-29,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-30,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-01-31,Total - All,9797837.51187272
t/day,EU,daily,0.2,2016-02-01,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-02,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-03,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-04,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-05,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-06,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-07,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-08,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-09,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-10,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-11,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-12,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-13,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-14,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-15,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-16,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-17,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-18,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-19,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-20,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-21,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-22,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-23,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-24,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-25,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-26,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-27,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-28,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-02-29,Total - All,9653884.67330358
t/day,EU,daily,0.2,2016-03-01,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-02,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-03,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-04,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-05,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-06,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-07,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-08,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-09,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-10,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-11,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-12,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-13,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-14,Total - All,9120747.56835493
t/day,EU,daily,0.2,2016-03-15,Total - All,9120747.56835493
